step,loss,effective_batch_size,world_size,accum_steps
3,1.660670280456543,128,1,4
7,1.7096002101898193,128,1,4
11,1.738057017326355,128,1,4
15,1.7433868646621704,128,1,4
19,2.0883212089538574,128,1,4
